t,pivotLx,pivotLy,pivotRx,pivotRy,bobx,boby
8.5,681,76,1181,78,1245,911
8.516666666666667,681,76,1181,78,1244,911
8.533333333333333,681,76,1181,78,1242,912
8.55,681,76,1181,78,1240,912
8.566666666666666,681,76,1181,78,1237,911
8.583333333333334,681,76,1181,78,1234,912
8.6,681,76,1181,78,1231,912
8.616666666666667,681,76,1181,78,1227,913
8.633333333333333,681,76,1181,78,1222,913
8.65,681,76,1181,78,1218,913
8.666666666666666,681,76,1181,78,1213,913
8.683333333333334,681,76,1181,78,1209,913
8.7,681,76,1181,78,1203,913
8.716666666666667,681,76,1181,78,1198,913
8.733333333333333,681,76,1181,78,1192,913
8.75,681,76,1181,78,1187,914
8.766666666666667,681,76,1181,78,1181,914
8.783333333333333,681,76,1181,78,1176,913
8.8,681,76,1181,78,1170,913
8.816666666666666,681,76,1181,78,1165,914
8.833333333333334,681,76,1181,78,1160,913
8.85,681,76,1181,78,1155,913
8.866666666666667,681,76,1181,78,1151,913
8.883333333333333,681,76,1181,78,1146,913
8.9,681,76,1181,78,1143,913
8.916666666666666,681,76,1181,78,1139,913
8.933333333333334,681,76,1181,78,1135,913
8.95,681,76,1181,78,1133,913
8.966666666666667,681,76,1181,78,1131,913
8.983333333333333,681,76,1181,78,1129,913
9.0,681,76,1181,78,1127,912
9.016666666666667,681,76,1181,78,1127,912
9.033333333333333,681,76,1181,78,1126,912
9.05,681,76,1181,78,1127,912
9.066666666666666,681,76,1181,78,1127,912
9.083333333333334,681,76,1181,78,1128,912
9.1,681,76,1181,78,1129,913
9.116666666666667,681,76,1181,78,1131,913
9.133333333333333,681,76,1181,78,1135,913
9.15,681,76,1181,78,1137,913
9.166666666666666,681,76,1181,78,1141,913
9.183333333333334,681,76,1181,78,1145,913
9.2,681,76,1181,78,1149,913
9.216666666666667,681,76,1181,78,1153,913
9.233333333333333,681,76,1181,78,1157,913
9.25,681,76,1181,78,1163,913
9.266666666666667,681,76,1181,78,1168,913
9.283333333333333,681,76,1181,78,1173,914
9.3,681,76,1181,78,1179,914
9.316666666666666,681,76,1181,78,1184,913
9.333333333333334,681,76,1181,78,1190,913
9.35,681,76,1181,78,1195,913
9.366666666666667,681,76,1181,78,1201,913
9.383333333333333,681,76,1181,78,1206,913
9.4,681,76,1181,78,1211,913
9.416666666666666,681,76,1181,78,1216,913
9.433333333333334,681,76,1181,78,1221,913
9.45,681,76,1181,78,1225,913
9.466666666666667,681,76,1181,78,1229,912
9.483333333333333,681,76,1181,78,1233,912
9.5,681,76,1181,78,1236,912
9.516666666666667,681,76,1181,78,1239,912
9.533333333333333,681,76,1181,78,1242,911
9.55,681,76,1181,78,1243,911
9.566666666666666,681,76,1181,78,1245,911
9.583333333333334,681,76,1181,78,1246,911
9.6,681,76,1181,78,1246,911
9.616666666666667,681,76,1181,78,1246,911
9.633333333333333,681,76,1181,78,1246,911
9.65,681,76,1181,78,1245,911
9.666666666666666,681,76,1181,78,1243,911
9.683333333333334,681,76,1181,78,1242,911
9.7,681,76,1181,78,1239,912
9.716666666666667,681,76,1181,78,1236,911
9.733333333333333,681,76,1181,78,1232,912
9.75,681,76,1181,78,1229,912
9.766666666666667,681,76,1181,78,1225,913
9.783333333333333,681,76,1181,78,1220,913
9.8,681,76,1181,78,1216,913
9.816666666666666,681,76,1181,78,1211,913
9.833333333333334,681,76,1181,78,1206,913
9.85,681,76,1181,78,1201,914
9.866666666666667,681,76,1181,78,1195,913
9.883333333333333,681,76,1181,78,1190,914
9.9,681,76,1181,78,1184,914
9.916666666666666,681,76,1181,78,1179,914
9.933333333333334,681,76,1181,78,1173,914
9.95,681,76,1181,78,1168,914
9.966666666666667,681,76,1181,78,1163,913
9.983333333333333,681,76,1181,78,1158,913
10.0,681,76,1181,78,1153,913
10.016666666666667,681,76,1181,78,1149,913
10.033333333333333,681,76,1181,78,1145,913
10.05,681,76,1181,78,1141,913
10.066666666666666,681,76,1181,78,1137,913
10.083333333333334,681,76,1181,78,1135,913
10.1,681,76,1181,78,1131,913
10.116666666666667,681,76,1181,78,1129,913
10.133333333333333,681,76,1181,78,1128,912
10.15,681,76,1181,78,1127,912
10.166666666666666,681,76,1181,78,1127,912
10.183333333333334,681,76,1181,78,1126,912
10.2,681,76,1181,78,1127,912
10.216666666666667,681,76,1181,78,1127,913
10.233333333333333,681,76,1181,78,1129,913
10.25,681,76,1181,78,1131,913
10.266666666666667,681,76,1181,78,1133,913
10.283333333333333,681,76,1181,78,1135,913
10.3,681,76,1181,78,1139,913
10.316666666666666,681,76,1181,78,1143,913
10.333333333333334,681,76,1181,78,1147,913
10.35,681,76,1181,78,1151,913
10.366666666666667,681,76,1181,78,1155,913
10.383333333333333,681,76,1181,78,1160,913
10.4,681,76,1181,78,1165,914
10.416666666666666,681,76,1181,78,1171,914
10.433333333333334,681,76,1181,78,1176,913
10.45,681,76,1181,78,1181,914
10.466666666666667,681,76,1181,78,1187,914
10.483333333333333,681,76,1181,78,1192,913
10.5,681,76,1181,78,1198,913
10.516666666666667,681,76,1181,78,1203,913
10.533333333333333,681,76,1181,78,1208,913
10.55,681,76,1181,78,1213,913
10.566666666666666,681,76,1181,78,1218,913
10.583333333333334,681,76,1181,78,1222,913
10.6,681,76,1181,78,1227,913
10.616666666666667,681,76,1181,78,1231,912
10.633333333333333,681,76,1181,78,1234,912
10.65,681,76,1181,78,1237,911
10.666666666666666,681,76,1181,78,1240,911
10.683333333333334,681,76,1181,78,1242,911
10.7,681,76,1181,78,1244,911
10.716666666666667,681,76,1181,78,1245,911
10.733333333333333,681,76,1181,78,1246,911
10.75,681,76,1181,78,1246,911
10.766666666666667,681,76,1181,78,1246,911
10.783333333333333,681,76,1181,78,1245,911
10.8,681,76,1181,78,1244,911
10.816666666666666,681,76,1181,78,1242,911
10.833333333333334,681,76,1181,78,1241,911
10.85,681,76,1181,78,1238,911
10.866666666666667,681,76,1181,78,1234,912
10.883333333333333,681,76,1181,78,1231,912
10.9,681,76,1181,78,1227,912
10.916666666666666,681,76,1181,78,1223,913
10.933333333333334,681,76,1181,78,1219,913
10.95,681,76,1181,78,1214,913
10.966666666666667,681,76,1181,78,1209,913
10.983333333333333,681,76,1181,78,1204,913
11.0,681,76,1181,78,1199,913
11.016666666666667,681,76,1181,78,1193,914
11.033333333333333,681,76,1181,78,1187,913
11.05,681,76,1181,78,1182,913
